Date,AMZN
12/5/2013,384.48999
12/6/2013,386.950012
12/9/2013,384.890015
12/10/2013,387.779999
12/11/2013,382.190002
12/12/2013,381.25
12/13/2013,384.23999
12/16/2013,388.970001
12/17/2013,387.649994
12/18/2013,395.959991
12/19/2013,395.190002
12/20/2013,402.200012
12/23/2013,402.920013
12/24/2013,399.200012
12/26/2013,404.390015
12/27/2013,398.079987
12/30/2013,393.369995
12/31/2013,398.790009
1/2/2014,397.970001
1/3/2014,396.440002
1/6/2014,393.630005
1/7/2014,398.029999
1/8/2014,401.920013
1/9/2014,401.01001
1/10/2014,397.660004
1/13/2014,390.980011
1/14/2014,397.540009
1/15/2014,395.869995
1/16/2014,395.799988
1/17/2014,399.609985
1/21/2014,407.049988
1/22/2014,404.540009
1/23/2014,399.869995
1/24/2014,387.600006
1/27/2014,386.279999
1/28/2014,394.429993
1/29/2014,384.200012
1/30/2014,403.01001
1/31/2014,358.690002
2/3/2014,346.149994
2/4/2014,347.950012
2/5/2014,346.450012
2/6/2014,354.589996
2/7/2014,361.079987
2/10/2014,360.869995
2/11/2014,361.790009
2/12/2014,349.25
2/13/2014,357.200012
2/14/2014,357.350006
2/18/2014,353.649994
2/19/2014,347.380005
2/20/2014,349.799988
2/21/2014,346.76001
2/24/2014,351.779999
2/25/2014,358.320007
2/26/2014,359.799988
2/27/2014,360.130005
2/28/2014,362.100006
3/3/2014,359.779999
3/4/2014,363.899994
3/5/2014,372.369995
3/6/2014,372.160004
3/7/2014,372.059998
3/10/2014,370.529999
3/11/2014,368.820007
3/12/2014,370.640015
3/13/2014,371.51001
3/14/2014,373.73999
3/17/2014,375.040009
3/18/2014,378.769989
3/19/2014,373.230011
3/20/2014,368.970001
3/21/2014,360.619995
3/24/2014,351.850006
3/25/2014,354.709991
3/26/2014,343.410004
3/27/2014,338.470001
3/28/2014,338.290009
3/31/2014,336.369995
4/1/2014,342.98999
4/2/2014,341.959991
4/3/2014,333.619995
4/4/2014,323
4/7/2014,317.76001
4/8/2014,327.070007
4/9/2014,331.809998
4/10/2014,317.109985
4/11/2014,311.730011
4/14/2014,315.910004
4/15/2014,316.079987
4/16/2014,323.679993
4/17/2014,324.910004
4/21/2014,330.869995
4/22/2014,329.320007
4/23/2014,324.579987
4/24/2014,337.149994
4/25/2014,303.829987
4/28/2014,296.579987
4/29/2014,300.380005
4/30/2014,304.130005
5/1/2014,307.890015
5/2/2014,308.01001
5/5/2014,310.049988
5/6/2014,297.380005
5/7/2014,292.709991
