Date,AAPL,AMZN,GOOG,MSFT
2017-01-03,113.013916,753.669983,786.1400150000001,60.431488
2017-01-04,112.887413,757.179993,786.900024,60.161094999999996
2017-01-05,113.461502,780.450012,794.02002,60.161094999999996
2017-01-06,114.72640200000001,795.98999,806.150024,60.682559999999995
2017-01-09,115.77723700000001,796.919983,806.650024,60.489429
2017-01-10,115.893997,795.900024,804.789978,60.470112
2017-01-11,116.51670800000001,799.02002,807.909973,61.020542000000006
2017-01-12,116.030212,813.6400150000001,806.3599849999999,60.460460999999995
2017-01-13,115.82588200000001,817.1400150000001,807.880005,60.547371
2017-01-17,116.75997199999999,809.719971,804.6099849999999,60.383205000000004
2017-01-18,116.750229,807.47998,806.070007,60.354240000000004
2017-01-19,116.545898,809.039978,802.174988,60.161094999999996
2017-01-20,116.75997199999999,808.330017,805.02002,60.585999
2017-01-23,116.837799,817.880005,819.3099980000001,60.798439
2017-01-24,116.730774,822.4400019999999,823.869995,61.339222
2017-01-25,118.58919499999999,836.52002,835.669983,61.493729
2017-01-26,118.64758300000001,839.150024,832.150024,62.063461
2017-01-27,118.657303,835.77002,823.3099980000001,63.521629000000004
2017-01-30,118.345947,830.380005,802.320007,62.893936
2017-01-31,118.073517,823.47998,796.789978,62.430424
2017-02-01,125.273705,832.349976,795.695007,61.39716
2017-02-02,125.05965400000001,839.9500119999999,798.530029,61.001231999999995
2017-02-03,125.594803,810.200012,801.48999,61.493729
2017-02-06,126.772125,807.6400150000001,801.340027,61.455096999999995
2017-02-07,127.97863000000001,812.5,806.969971,61.252308
2017-02-08,128.47486899999998,819.710022,808.380005,61.165401
2017-02-09,129.403229,821.3599849999999,809.5599980000001,61.860671999999994
2017-02-10,129.110077,827.460022,813.669983,61.802742
2017-02-13,130.25341799999998,836.530029,819.23999,62.49802
2017-02-14,131.944016,836.3900150000001,820.450012,62.731186
2017-02-15,132.42283600000002,842.7000119999999,818.97998,62.692322
2017-02-16,132.266495,844.1400150000001,824.159973,62.682602
2017-02-17,132.628067,845.070007,828.070007,62.779757999999994
2017-02-21,133.585724,856.4400019999999,831.659973,62.653461
2017-02-22,133.986389,855.6099849999999,830.76001,62.527164
2017-02-23,133.419601,852.1900019999999,831.330017,62.779757999999994
2017-02-24,133.546661,845.23999,828.6400150000001,62.779757999999994
2017-02-27,133.810471,848.6400150000001,829.280029,62.400870999999995
2017-02-28,133.86911,845.0399779999999,823.210022,62.157986
2017-03-01,136.605331,853.080017,835.23999,63.090652
2017-03-02,135.79425,848.909973,830.630005,62.18713399999999
2017-03-03,136.595566,849.8800050000001,829.080017,62.42029599999999
2017-03-06,136.165573,846.6099849999999,827.780029,62.439719999999994
2017-03-07,136.341476,846.0200199999999,831.909973,62.566029
2017-03-08,135.83334399999998,850.5,835.369995,63.139221
2017-03-09,135.520599,853.0,838.679993,62.886627000000004
2017-03-10,135.970139,852.4600220000001,843.25,63.080929000000005
2017-03-13,136.028748,854.590027,845.5399779999999,62.867194999999995
2017-03-14,135.823547,852.5300289999999,845.6199949999999,62.575741
2017-03-15,137.26007099999998,852.9699710000001,847.2000119999999,62.906059
2017-03-16,137.484818,853.419983,848.7800289999999,62.79919399999999
2017-03-17,136.800797,852.3099980000001,852.1199949999999,63.02264399999999
2017-03-20,138.237305,856.9699710000001,848.400024,63.080929000000005
2017-03-21,136.65419,843.2000119999999,830.460022,62.381434999999996
2017-03-22,138.198212,848.0599980000001,829.590027,63.178081999999996
2017-03-23,137.709579,847.3800050000001,817.580017,63.02264399999999
2017-03-24,137.435974,845.6099849999999,814.429993,63.129513
2017-03-27,137.670532,846.820007,819.51001,63.24609
2017-03-28,140.523987,856.0,820.919983,63.430676
2017-03-29,140.8367,874.320007,831.409973,63.60554499999999
2017-03-30,140.651016,876.340027,831.5,63.838726
2017-03-31,140.387177,886.5399779999999,829.5599980000001,63.98444
2017-04-03,140.426254,891.51001,838.549988,63.68328100000001
2017-04-04,141.471878,906.830017,834.570007,63.858162
2017-04-05,140.73898300000002,909.2800289999999,831.409973,63.692989000000004
2017-04-06,140.387177,898.2800289999999,827.880005,63.858162
2017-04-07,140.07446299999998,894.8800050000001,824.669983,63.809585999999996
2017-04-10,139.908325,907.0399779999999,824.72998,63.663844999999995
2017-04-11,138.403427,902.3599849999999,823.349976,63.615269
2017-04-12,138.56955,896.2299800000001,824.320007,63.372386999999996
2017-04-13,137.836624,884.669983,823.5599980000001,63.100356999999995
2017-04-17,138.59886200000003,901.98999,837.169983,63.615269
2017-04-18,137.9832,903.7800289999999,836.820007,63.527840000000005
2017-04-19,137.475052,899.2000119999999,838.210022,63.187805000000004
2017-04-20,139.194962,902.0599980000001,841.650024,63.634701
2017-04-21,139.028854,898.5300289999999,843.1900019999999,64.509064
2017-04-24,140.36763,907.409973,862.76001,65.606888
2017-04-25,141.23735,907.6199949999999,872.2999880000001,65.985786
2017-04-26,140.406723,909.2899779999999,871.7299800000001,65.89834599999999
2017-04-27,140.51419099999998,918.3800050000001,874.25,66.325813
2017-04-28,140.37738000000002,924.98999,905.9600220000001,66.51039899999999
2017-05-01,143.240646,948.2299800000001,912.570007,67.433357
2017-05-02,144.149475,946.9400019999999,916.4400019999999,67.32648499999999
2017-05-03,143.709702,941.0300289999999,927.0399779999999,67.112755
2017-05-04,143.191772,937.5300289999999,931.659973,66.850433
2017-05-05,145.566422,934.150024,927.1300050000001,67.035027
2017-05-08,149.524139,949.0399779999999,934.2999880000001,66.976738
2017-05-09,150.481842,952.820007,932.169983,67.073891
